PDB_file, description
ak2_seed-30_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=30 sample=4 template=off
ak2_seed-31_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=31 sample=0 template=off
ak2_seed-31_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=31 sample=1 template=off
ak2_seed-31_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=31 sample=2 template=off
ak2_seed-31_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=31 sample=3 template=off
ak2_seed-31_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=31 sample=4 template=off
ak2_seed-32_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=32 sample=0 template=off
ak2_seed-32_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=32 sample=1 template=off
ak2_seed-32_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=32 sample=2 template=off
ak2_seed-32_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=32 sample=3 template=off
ak2_seed-32_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=32 sample=4 template=off
ak2_seed-33_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=33 sample=0 template=off
ak2_seed-33_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=33 sample=1 template=off
ak2_seed-33_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=33 sample=2 template=off
ak2_seed-33_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=33 sample=3 template=off
ak2_seed-33_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=33 sample=4 template=off
ak2_seed-34_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=34 sample=0 template=off
ak2_seed-34_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=34 sample=1 template=off
ak2_seed-34_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=34 sample=2 template=off
ak2_seed-34_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=34 sample=3 template=off
ak2_seed-34_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=34 sample=4 template=off
ak2_seed-35_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=35 sample=0 template=off
ak2_seed-35_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=35 sample=1 template=off
ak2_seed-35_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=35 sample=2 template=off
ak2_seed-35_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=35 sample=3 template=off
ak2_seed-35_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=35 sample=4 template=off
ak2_seed-36_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=36 sample=0 template=off
ak2_seed-36_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=36 sample=1 template=off
ak2_seed-36_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=36 sample=2 template=off
ak2_seed-36_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=36 sample=3 template=off
ak2_seed-36_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=36 sample=4 template=off
ak2_seed-37_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=37 sample=0 template=off
ak2_seed-37_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=37 sample=1 template=off
ak2_seed-37_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=37 sample=2 template=off
ak2_seed-37_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=37 sample=3 template=off
ak2_seed-37_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=37 sample=4 template=off
ak2_seed-38_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=38 sample=0 template=off
ak2_seed-38_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=38 sample=1 template=off
ak2_seed-38_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=38 sample=2 template=off
ak2_seed-38_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=38 sample=3 template=off
ak2_seed-38_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=38 sample=4 template=off
ak2_seed-39_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=39 sample=0 template=off
ak2_seed-39_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=39 sample=1 template=off
ak2_seed-39_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=39 sample=2 template=off
ak2_seed-39_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=39 sample=3 template=off
ak2_seed-39_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=39 sample=4 template=off
ak2_seed-40_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=40 sample=0 template=off
