PDB_file, description
ak2-clustered__ak2_148.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_148.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_149.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_149.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_150.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_150.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_151.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_151.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_152.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_152.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_153.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_153.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_154.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_154.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_155.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_155.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_156.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_156.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_157.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_157.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_158.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_158.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_159.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_159.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_160.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_160.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_161.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_161.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_162.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_162.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_163.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_163.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_164.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_164.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_165.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_165.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_166.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_166.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_167.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_167.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_168.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_168.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_169.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_169.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_170.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_170.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_171.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_171.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_172.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_172.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_173.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_173.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_174.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_174.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_175.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_175.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_176.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_176.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_177.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_177.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_178.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_178.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_179.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_179.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_180.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_180.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_181.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_181.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_182.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_182.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_183.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_183.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_184.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_184.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_185.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_185.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_186.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_186.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_187.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_187.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_188.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_188.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_189.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_189.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_190.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_190.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_191.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_191.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_192.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_192.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_193.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_193.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_194.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_194.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_195.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_195.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_196.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_196.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_197.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_197.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_198.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_198.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_199.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_199.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_200.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_200.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_201.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_201.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_202.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_202.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_203.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_203.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_204.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_204.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_205.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_205.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_206.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_206.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_207.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_207.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_208.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_208.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_209.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_209.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_210.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_210.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_211.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_211.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_212.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_212.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_213.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_213.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_214.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_214.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_215.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_215.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_216.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_216.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_217.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_217.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_218.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_218.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_219.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_219.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_220.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_220.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_221.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_221.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_222.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_222.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_223.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_223.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_224.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_224.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_225.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_225.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_226.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_226.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_227.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_227.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_228.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_228.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_229.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_229.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_230.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_230.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_231.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_231.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_232.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_232.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_233.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_233.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_234.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_234.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_235.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_235.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_236.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_236.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_237.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_237.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_238.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_238.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_239.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_239.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_240.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_240.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_241.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_241.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_242.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_242.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_243.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_243.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_244.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_244.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_245.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_245.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_246.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_246.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_247.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_247.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_248.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_248.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_249.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_249.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_250.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_250.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_251.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_251.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_252.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_252.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_253.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_253.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_254.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_254.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_255.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_255.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_256.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_256.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_257.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_257.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_258.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_258.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_259.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_259.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_260.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_260.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_261.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_261.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_262.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_262.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_263.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_263.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_264.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_264.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_265.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_265.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_266.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_266.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_267.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_267.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_268.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_268.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_269.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_269.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_270.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_270.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_271.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_271.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_272.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_272.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_273.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_273.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_274.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_274.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_275.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_275.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_276.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_276.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_277.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_277.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_278.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_278.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_279.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_279.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_280.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_280.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_281.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_281.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_282.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_282.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_283.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_283.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
ak2-clustered__ak2_284.a3m_0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb, tool=af_cluster msa=ak2_284.a3m version=AF2-ptm model=1 seed=0 template=off dropout=off
